activities,candidates,execution_number,SQ,MCN,SN,fitness,optimal,fitness_normalized,scalability
5,50,10,20,100,100,1.8806473479799881,2.0,0.9403236739899941,1.04422926902771
10,100,10,20,100,100,1.8589225112143262,2.0,0.9294612556071631,2.0174941301345823
10,100,10,20,100,100,1.8400958744729934,2.0,0.9200479372364967,2.1537819385528563
20,150,10,20,100,100,1.8281844754228591,2.0,0.9140922377114296,3.6495069026947022
20,150,10,20,100,100,1.8396099467358042,2.0,0.9198049733679021,3.2444591999053953
30,200,10,20,100,100,1.8219084989041217,2.0,0.9109542494520608,4.750736331939697
30,200,10,20,100,100,1.8179846576682137,2.0,0.9089923288341069,4.78970878124237
5,50,10,50,300,200,1.7959272313622567,2.0,0.8979636156811284,6.4844022512435915
10,100,10,50,300,200,1.8900393740084518,2.0,0.9450196870042259,10.04833118915558
10,100,10,50,300,200,1.8769789318314654,2.0,0.9384894659157327,10.029240679740905
20,150,10,50,300,200,1.842063874587985,2.0,0.9210319372939925,17.670262360572814
20,150,10,50,300,200,1.8703685887282986,2.0,0.9351842943641493,17.606980776786806
30,200,10,50,300,200,1.8636064709877949,2.0,0.9318032354938974,25.22880983352661
30,200,10,50,300,200,1.8331736168226,2.0,0.9165868084113,25.229431080818177
